15412;103.122.228.0/24;0:00:19;1556022883;1556022902;['15412', '18101', '18101', '18101', '18101', '134006', '138292', '138292', '138292', '138292', '138292', '138292']
15412;41.33.146.0/24;0:00:13;1556022973;1556022986;['15412', '8452']
15412;41.33.146.0/24;0:00:16;1556023084;1556023100;['15412', '8452']
15412;41.33.146.0/24;0:00:19;1556023316;1556023335;['15412', '8452']
15412;103.15.179.0/24;0:00:28;1556023853;1556023881;['15412', '18101', '58700']
15412;41.33.146.0/24;0:00:20;1556026043;1556026063;['15412', '8452']
15412;41.33.146.0/24;0:00:14;1556026149;1556026163;['15412', '8452']
15412;14.227.112.0/20;0:00:00;1556027813;1556027813;['15412', '9304', '45899', '45899', '45899']
15412;14.255.226.0/24;0:00:00;1556027814;1556027814;['15412', '9304', '45899', '45899', '45899']
15412;113.161.48.0/21;0:00:01;1556027816;1556027817;['15412', '9304', '45899', '45899', '45899']
15412;41.33.146.0/24;0:00:05;1556027964;1556027969;['15412', '8452']
15412;41.33.146.0/24;0:00:06;1556028639;1556028645;['15412', '8452']
15412;41.33.146.0/24;0:00:04;1556030045;1556030049;['15412', '8452']
15412;41.33.146.0/24;0:00:09;1556030297;1556030306;['15412', '8452']
15412;41.33.146.0/24;0:00:17;1556030952;1556030969;['15412', '8452']
15412;41.33.146.0/24;0:00:07;1556031079;1556031086;['15412', '8452']
15412;41.33.146.0/24;0:00:08;1556032630;1556032638;['15412', '8452']
15412;41.33.146.0/24;0:00:07;1556033648;1556033655;['15412', '8452']
15412;162.44.193.0/24;0:00:00;1556038660;1556038660;['15412', '9304', '9304', '9304', '4775', '136963']
15412;202.41.147.0/24;0:00:11;1556039707;1556039718;['15412', '6648', '24081', '24081', '24081', '24081', '24081', '24081']
15412;2001:df7:9301::/48;0:00:02;1556041083;1556041085;['15412', '18101', '134392']
15412;103.3.80.0/22;0:00:01;1556043694;1556043695;['15412', '9304', '4775', '56262']
15412;203.157.0.0/16;0:00:30;1556043749;1556043779;['15412', '45629', '9649']
15412;103.3.80.0/22;0:00:53;1556045400;1556045453;['15412', '9304', '56262']
15412;103.3.80.0/22;0:00:53;1556046686;1556046739;['15412', '9304', '56262']
15412;2001:4388::/32;0:00:40;1556051478;1556051518;['15412', '8452']
15412;2400:cb00:62::/48;0:00:32;1556051532;1556051564;['15412', '8452', '13335']
15412;2400:cb00:62::/48;0:00:33;1556052496;1556052529;['15412', '8452', '13335']
15412;115.126.21.0/24;0:00:01;1556053931;1556053932;['15412', '9381', '38186']
15412;202.41.147.0/24;0:00:11;1556057700;1556057711;['15412', '6648', '24081', '24081', '24081', '24081', '24081', '24081']
15412;2401:4800:3021::/48;0:00:09;1556058594;1556058603;['15412', '18101', '38457']
15412;2401:4800:2011::/48;0:00:09;1556058594;1556058603;['15412', '18101', '38457']
15412;198.81.233.0/24;0:00:00;1556058700;1556058700;['15412', '9304', '3605']
15412;2401:4800:2011::/48;0:00:06;1556059074;1556059080;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:06;1556059074;1556059080;['15412', '18101', '38457']
15412;2401:4800:2011::/48;0:00:02;1556061958;1556061960;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:02;1556061958;1556061960;['15412', '18101', '38457']
15412;14.191.224.0/20;0:00:00;1556063079;1556063079;['15412', '9304', '45899', '45899', '45899']
15412;14.250.144.0/20;0:00:00;1556063080;1556063080;['15412', '9304', '45899', '45899']
15412;222.254.96.0/19;0:00:00;1556063091;1556063091;['15412', '9304', '45899', '45899']
15412;2401:4800:3021::/48;0:00:02;1556063094;1556063096;['15412', '18101', '38457']
15412;2401:4800:2011::/48;0:00:02;1556063094;1556063096;['15412', '18101', '38457']
15412;84.255.138.0/24;0:00:31;1556063343;1556063374;['15412', '5416', '5416', '5416', '5416', '5416', '5416']
15412;103.123.26.0/24;0:00:31;1556063392;1556063423;['15412', '4826', '138323', '138323', '138323']
15412;2401:4800:3021::/48;0:00:07;1556063595;1556063602;['15412', '18101', '38457']
15412;2401:4800:2011::/48;0:00:07;1556063595;1556063602;['15412', '18101', '38457']
15412;210.213.77.0/24;0:00:34;1556067646;1556067680;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:33;1556067827;1556067860;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:11;1556067936;1556067947;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:12;1556068062;1556068074;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:25;1556071266;1556071291;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:34;1556071611;1556071645;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:13;1556071725;1556071738;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:33;1556074851;1556074884;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:08;1556074915;1556074923;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:05;1556074944;1556074949;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:24;1556075059;1556075083;['15412', '9304', '55821', '55821', '131180']
15412;43.255.29.0/24;0:00:01;1556075331;1556075332;['15412', '9381', '133199']
15412;210.213.77.0/24;0:00:51;1556078605;1556078656;['15412', '9304', '55821', '131180']
15412;103.20.81.0/24;0:00:02;1556078607;1556078609;['15412', '9304', '55329', '24492', '131331', '131331', '131331']
15412;210.213.77.0/24;0:00:01;1556078687;1556078688;['15412', '9304', '55821', '55821', '131180']
15412;103.20.81.0/24;0:00:01;1556078819;1556078820;['15412', '9304', '55329', '24492', '131331', '131331', '131331']
15412;210.213.77.0/24;0:00:01;1556078832;1556078833;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:19;1556078834;1556078853;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:32;1556082413;1556082445;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:11;1556082500;1556082511;['15412', '9304', '55821', '55821', '131180']
