15412;196.43.237.0/24;0:00:07;0123;0123;['15412', '8452', '24863', '24863', '24863', '24863', '24863', '37444', '37444', '37444', '37444', '37444', '37444']
15412;2401:b80::/32;0:00:15;0123;0123;['15412', '133334']
15412;2401:b80::/32;0:00:14;0123;0123;['15412', '133334']
15412;41.33.146.0/24;0:00:02;0123;0123;['15412', '8452']
15412;103.206.159.0/24;0:00:38;0123;0123;['15412', '18101', '137027', '137027']
15412;118.99.63.0/24;0:00:01;0123;0123;['15412', '9381', '38186']
15412;118.99.63.0/24;0:00:16;0123;0123;['15412', '9381', '38186']
15412;41.33.146.0/24;0:00:17;0123;0123;['15412', '8452']
15412;43.240.29.0/24;0:00:01;0123;0123;['15412', '9381', '133199']
15412;203.13.16.0/24;0:00:30;0123;0123;['15412', '4826', '9822']
15412;46.100.0.0/16;0:00:00;0123;0123;['15412', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880']
15412;41.33.146.0/24;0:00:22;0123;0123;['15412', '8452']
15412;144.48.142.0/24;0:00:01;0123;0123;['15412', '9381', '135343']
15412;41.33.146.0/24;0:00:25;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:18;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:15;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:04;0123;0123;['15412', '8452']
15412;103.122.228.0/24;0:00:19;0123;0123;['15412', '18101', '18101', '18101', '18101', '134006', '138292', '138292', '138292', '138292', '138292', '138292']
15412;41.33.146.0/24;0:00:13;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:16;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:19;0123;0123;['15412', '8452']
15412;103.15.179.0/24;0:00:28;0123;0123;['15412', '18101', '58700']
15412;41.33.146.0/24;0:00:20;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:14;0123;0123;['15412', '8452']
15412;14.227.112.0/20;0:00:00;0123;0123;['15412', '9304', '45899', '45899', '45899']
15412;14.255.226.0/24;0:00:00;0123;0123;['15412', '9304', '45899', '45899', '45899']
15412;113.161.48.0/21;0:00:01;0123;0123;['15412', '9304', '45899', '45899', '45899']
15412;41.33.146.0/24;0:00:05;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:06;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:04;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:09;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:17;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:07;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:08;0123;0123;['15412', '8452']
15412;41.33.146.0/24;0:00:07;0123;0123;['15412', '8452']
15412;162.44.193.0/24;0:00:00;0123;0123;['15412', '9304', '9304', '9304', '4775', '136963']
15412;202.41.147.0/24;0:00:11;0123;0123;['15412', '6648', '24081', '24081', '24081', '24081', '24081', '24081']
15412;2001:df7:9301::/48;0:00:02;0123;0123;['15412', '18101', '134392']
15412;103.3.80.0/22;0:00:01;0123;0123;['15412', '9304', '4775', '56262']
15412;203.157.0.0/16;0:00:30;0123;0123;['15412', '45629', '9649']
15412;103.3.80.0/22;0:00:53;0123;0123;['15412', '9304', '56262']
15412;103.3.80.0/22;0:00:53;0123;0123;['15412', '9304', '56262']
15412;2001:4388::/32;0:00:40;0123;0123;['15412', '8452']
15412;2400:cb00:62::/48;0:00:32;0123;0123;['15412', '8452', '13335']
15412;2400:cb00:62::/48;0:00:33;0123;0123;['15412', '8452', '13335']
15412;115.126.21.0/24;0:00:01;0123;0123;['15412', '9381', '38186']
15412;202.41.147.0/24;0:00:11;0123;0123;['15412', '6648', '24081', '24081', '24081', '24081', '24081', '24081']
